City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,279.71,68,0,3.97,ZA,1690956482
84,naftalan,40.5067,46.825,302.83,41,0,1.86,AZ,1690957051
85,kodinsk,58.6881,99.1844,297.01,75,3,2.85,RU,1690956809
86,la cruz,23.9167,-106.9,299.44,77,91,1.46,MX,1690957052
87,colonia,50.9333,6.95,289.8,87,20,5.14,DE,1690956588
88,jamestown,42.097,-79.2353,289.66,93,0,0.45,US,1690956311
89,cosenza,39.31,16.2502,298.66,54,4,1.54,IT,1690957053
90,razumnoye,50.5344,36.6846,295.75,78,0,4.0,RU,1690957053
91,grytviken,-54.2811,-36.5092,271.11,95,100,3.13,GS,1690956474
92,bilibino,68.0546,166.4372,289.77,46,21,0.85,RU,1690956492
93,flying fish cove,-10.4217,105.6791,299.97,83,75,3.6,CX,1690956472
94,macapa,0.0389,-51.0664,297.14,100,100,1.54,BR,1690957054
95,christchurch,-43.5333,172.6333,279.26,72,20,8.23,NZ,1690956717
96,"laikit, laikit ii (dimembe)",1.4792,124.9735,303.62,62,20,2.57,ID,1690957054
97,san patricio,28.017,-97.5169,303.07,74,16,4.15,US,1690956519
98,menaka,15.9182,2.4022,301.13,62,100,8.7,ML,1690957055
99,farafangana,-22.8167,47.8333,293.84,77,98,7.42,MG,1690957055
100,pampas,-12.4,-74.9,279.95,90,32,0.17,PE,1690957055
101,hasaki,35.7333,140.8333,307.76,79,50,8.36,JP,1690956590
102,tubarjal,30.4999,38.216,304.91,15,0,8.54,SA,1690956520
103,touros,-5.1989,-35.4608,297.08,88,33,4.95,BR,1690956439
104,iqaluit,63.7506,-68.5145,277.98,93,99,1.08,CA,1690956492
105,colares,38.7992,-9.4469,295.0,85,75,9.39,PT,1690957056
106,acapulco de juarez,16.8634,-99.8901,301.05,83,75,0.0,MX,1690956568
107,dudinka,69.4058,86.1778,294.61,45,6,11.07,RU,1690956514
108,manggar,-2.8833,108.2667,302.51,70,34,5.5,ID,1690957057
109,carnarvon,-24.8667,113.6333,292.99,82,56,12.8,AU,1690956484
110,yebaishou,41.3975,119.6408,306.38,54,52,8.5,CN,1690957057
111,boke,10.9409,-14.2967,296.68,97,99,0.31,GN,1690957057
112,arti,56.4234,58.5328,296.19,63,46,0.7,RU,1690957058
113,ebon,4.582,168.6964,302.01,70,14,2.41,MH,1690957058
114,mount pearl,47.5166,-52.7813,288.34,94,100,3.6,CA,1690956907
115,olonkinbyen,70.9221,-8.7187,278.8,94,61,2.6,SJ,1690956490
116,vorgashor,67.5833,63.95,296.53,53,16,3.45,RU,1690956481
117,ubari,26.5921,12.7805,302.68,22,0,4.37,LY,1690956594
118,tougan,13.0667,-3.0667,297.9,81,99,3.65,BF,1690957059
119,thompson,55.7435,-97.8558,290.37,74,36,4.01,CA,1690956512
120,ozernyy,55.5802,32.4127,293.14,87,44,2.66,RU,1690957059
121,kulhudhuffushi,6.6221,73.07,301.38,75,100,5.62,MV,1690957059
122,dunedin,-45.8742,170.5036,276.93,79,100,8.49,NZ,1690956813
123,aioun,16.6614,-9.6149,304.88,45,92,5.61,MR,1690956517
124,queenstown,-31.8976,26.8753,279.42,54,8,1.67,ZA,1690956562
125,egilsstadir,65.2653,-14.3948,282.04,94,100,4.12,IS,1690956566
126,conde,-7.2597,-34.9075,294.85,100,0,1.54,BR,1690957061
127,sisimiut,66.9395,-53.6735,278.4,93,99,0.88,GL,1690956776
